"Id","Vessel Name","Vessel Type","CompanyId","CompanyName","IMO","Gross Tonage","HP","Flag"
"1","AS NADIA (ex NORDSPRING)","Container Vessels","2","Reederi Nord","9321897","38332","","Portugal"
"2","NORDLION","Container Vessels","2","Reederi Nord","9626235","18826","","Cyprus"
"3","NORDTIGER","Container Vessels","2","Reederi Nord","9626247","18826","","Cyprus"
"4","NORDOCELOT","Container Vessels","2","Reederi Nord","9673642","18826","14280","Malta"
"5","SEABOARD GARDENIA (ex JOSITA B)","Container Vessels","2","Reederi Nord","9673630","18826","14280","Malta"
"6","NORDPANTHER","Container Vessels","2","Reederi Nord","9673654","18826","14280","Cyprus"
"7","VIOLETA B (ex NORDLUCHS)","Container Vessels","2","Reederi Nord","9673666","18826","","Cyprus"
"8","NORDPUMA","Container Vessels","2","Reederi Nord","9626259","18826","14280","Cyprus"
"9","NORDLEOPARD","Container Vessels","2","Reederi Nord","9626261","18826","","Cyprus"
"10","NORDAMELIA","Container Vessels","2","Reederi Nord","9724958","28316","13400","Cyprus"
"11","NORDPACIFIC","Container Vessels","2","Reederi Nord","9802487","28433","13400","Cyprus"
"12","MARIUS (ex NORDMAPLE)","Container Vessels","2","Reederi Nord","9802504","28433","13400","France"
"13","NORDMAAS","Container Vessels","2","Reederi Nord","9822736","19035","","Cyprus"
"14","NORDLOIRE","Bulk Carriers","2","Reederi Nord","9596026","24195","7000","Portugal"
"15","NORDSCHELDE","Bulk Carriers","2","Reederi Nord","9596038","24195","7000","Portugal"
"16","NORDRHONE","Bulk Carriers","2","Reederi Nord","9596040","23975","6575","Portugal"
"17","NORDSEINE","Bulk Carriers","2","Reederi Nord","9596052","23975","","Portugal"
"18","NORDTIGRIS","Bulk Carriers","2","Reederi Nord","9741700","23974","6575","Portugal"
"19","NORDORINOCO","Bulk Carriers","2","Reederi Nord","9741712","23974","6575","Portugal"
"20","NORDTAJO","Bulk Carriers","2","Reederi Nord","9741805","25546","6100","Portugal"
"21","NORDMOSEL","Bulk Carriers","2","Reederi Nord","9741877","25546","6100","Portugal"
"22","NORDSUN","Bulk Carriers","2","Reederi Nord","9705158","34586","8130","Portugal"
"23","NORDULTRA","Bulk Carriers","2","Reederi Nord","9705146","34586","","Portugal"
"24","ANGELIC ANA","Bulk Carriers","2","Reederi Nord","9422809","","","Liberia"
"25","N DISCOVERY","","2","Reederi Nord","","","",""
"26","NORDBALTIC","","2","Reederi Nord","","","",""
"27","NORDRUBICON","","2","Reederi Nord","","","",""
"28","ARCH. CEALTIEL (ex NORDCOLORADO)","Bulk Carriers","2","Reederi Nord","9805661","","","Marshall Islands"
"29","CMA CGM ISKENDRUN","","2","Reederi Nord","","","",""
"30","NORDSPRING","","2","Reederi Nord","","","",""
"31","NORDATLANTIC","","2","Reederi Nord","","","",""
"32","AWESOMEASHLEY","","2","Reederi Nord","","","",""
"33","NORDMARSH","","2","Reederi Nord","","","",""
"34","NORDMED","","2","Reederi Nord","","","",""
"35","NORDMAPLE","","2","Reederi Nord","","","",""
"36","NORD CHLERE","","2","Reederi Nord","","","",""
"37","NORDMARCH","","2","Reederi Nord","","","",""
"38","NORDLILY","","2","Reederi Nord","","","",""
"39","CMA CMG AQUILA","","2","Reederi Nord","","","",""
"40","ANGELICANA","","2","Reederi Nord","","","",""
"41","ISABELLA","","2","Reederi Nord","","","",""
"42","NORDMARGHERITA","","2","Reederi Nord","","","",""
"43","NORDSERENA","","2","Reederi Nord","","","",""
"44","RADIANT REB","General Cargo Vessels","2","Reederi Nord","9633197","","",""